43.750053813,-79.462342744,Downsview
43.734580620,-79.449928713,Wilson
43.724813020,-79.447509462,Yorkdale
43.716381433,-79.444029153,Lawrence West
43.709819963,-79.441528421,Glencairn
43.698996649,-79.435989533,Eglinton West
43.684352034,-79.414535879,St Clair West
43.674909875,-79.407256672,Dupont
43.667714585,-79.403751969,Spadina
43.668318768,-79.398672286,St George
43.667177071,-79.393502230,Museum
43.659704948,-79.390349040,Queen's Park
43.654611638,-79.388295977,St Patrick
43.650874106,-79.386617316,Osgoode
43.647645649,-79.385130483,St Andrew
43.645722666,-79.380462258,Union
43.649120879,-79.378045133,King
43.652346514,-79.379326503,Queen
43.656136534,-79.380729654,Dundas
43.661229971,-79.382782166,College
43.665182941,-79.383770788,Wellesley
43.670671998,-79.385950091,Bloor
43.676900952,-79.388725888,Rosedale
43.682449998,-79.391178237,Summerhill
43.688162978,-79.393284347,St Clair
43.698123394,-79.397331412,Davisville
43.706645843,-79.399158462,Eglinton
43.725421915,-79.401877582,Lawrence
43.744995922,-79.405330677,York Mills
43.761674341,-79.410987148,Sheppard
43.769241254,-79.412911598,North York Centre
43.781490124,-79.415672606,Finch
43.638020312,-79.536388119,Kipling
43.645950081,-79.523947976,Islington
43.648804442,-79.511540512,Royal York
43.650576487,-79.495224994,Old Mill
43.650291274,-79.484771783,Jane
43.652166954,-79.476499160,Runnymede
43.654594232,-79.465529622,High Park
43.655700785,-79.460315483,Keele
43.657142061,-79.452678426,Dundas West
43.659142924,-79.442969912,Lansdowne
43.660665098,-79.435955802,Dufferin
43.662663329,-79.426156823,Ossington
43.664251781,-79.418693027,Christie
43.665991758,-79.411582548,Bathurst
43.667647755,-79.403758401,Spadina
43.668311635,-79.398643233,St George
43.670400288,-79.390270289,Bay
43.670706062,-79.385879814,Yonge
43.672345084,-79.376981614,Sherbourne
43.674140625,-79.368794155,Castle Frank
43.676861715,-79.358523845,Broadview
43.678377345,-79.351416279,Chester
43.679684930,-79.345208527,Pape
43.681050077,-79.337925572,Donlands
43.682703613,-79.330276435,Greenwood
43.684149170,-79.323527235,Coxwell
43.686352895,-79.313357113,Woodbine
43.688916606,-79.302728755,Main Street
43.694320822,-79.290318935,Victoria Park
43.712242009,-79.278980371,Warden
43.732118151,-79.265698446,Kennedy
43.761618114,-79.410988637,Sheppard-Yonge
43.767252223,-79.387398646,Bayview
43.769126785,-79.376724185,Bessarion
43.771132451,-79.367416349,Leslie
43.775564642,-79.346936420,Don Mills
